t,Equal Weight,Max Sharpe,Min Volatility,Risk Parity
2023-08-09 04:00:00,115997.27955305613,114960.05016487691,103221.86235850086,110785.73299451431
2023-08-10 04:00:00,115932.86376153678,114957.55580963333,102860.04124723354,110619.85937259156
2023-08-11 04:00:00,115998.1128551159,114947.28375206968,103130.99388191316,110805.55454258932
2023-08-14 04:00:00,116627.16963011632,115472.74150397726,103225.46055872113,111218.3281792909
2023-08-15 04:00:00,114928.68688484014,114285.65974952748,101917.52151447644,109627.8163809688
2023-08-16 04:00:00,113877.37943383396,113393.7175625558,101034.06851709612,108630.5793498942
2023-08-17 04:00:00,113275.70240434963,112554.74591168876,101008.29132585863,108317.14941650104
2023-08-18 04:00:00,113484.80389006322,112564.39352833667,101511.97945526463,108690.15418627004
2023-08-21 04:00:00,113961.87593532342,113218.0826457362,101171.35748585916,108800.02716934356
2023-08-22 04:00:00,113763.57184652156,113343.7336830652,101437.90111513528,108798.16399840648
2023-08-23 04:00:00,115069.1056648073,114871.2929357996,102635.84388178922,110017.70235078048
2023-08-24 04:00:00,113463.4091066512,113349.05325796478,101675.4810770503,108654.8702485892
2023-08-25 04:00:00,114301.47876624268,113934.50491940428,102421.25460621406,109509.65028066396
2023-08-28 04:00:00,114804.45260485868,114403.29052153342,102912.60630940014,110039.10337896302
2023-08-29 04:00:00,116328.10781333876,116011.8588452098,104098.20805919352,111429.744843604
2023-08-30 04:00:00,116823.12057160506,116834.9909536877,104767.4776075778,112043.7492650618
2023-08-31 04:00:00,117028.19965159634,117140.0319097317,104915.24146327809,112219.23506464856
2023-09-01 04:00:00,117276.488660031,117534.5728534938,105105.04724935832,112512.26546864942
2023-09-04 04:00:00,117276.488660031,117534.5728534938,105105.04724935832,112512.26546864942
2023-09-05 04:00:00,116939.30128994444,116956.40549375657,104585.67545976304,112132.41179242828
2023-09-06 04:00:00,116126.77007489932,115051.71134729964,103953.685318704,111395.93494296326
