Strategy,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown,Final Value
Equal Weight,0.47072889554554576,0.21451191869910113,0.1326928816559136,1.3528375935386958,-0.08321234572952163,147072.88955455457
Max Sharpe,0.5878233164429503,0.26230049045512627,0.12167543355935796,1.8680886010095072,-0.09044318013710317,158782.33164429502
Min Volatility,0.20358797297607256,0.09785296832234347,0.08700470526760287,0.7224088413267395,-0.08563374624086006,120358.79729760725
Risk Parity,0.3510739462771011,0.16368447155658838,0.10700832922964726,1.2025650010890518,-0.0762256829964022,135107.3946277101
