final_value,Method
310989.1960637894,historical
295372.17271157674,historical
159765.97578613815,historical
262279.9226870552,historical
218152.4380217312,historical
399465.0606506692,historical
267710.64840043755,historical
304943.974848783,historical
540013.0560083353,historical
184470.195932068,historical
332064.64302940865,historical
251875.9928498599,historical
380019.4759135886,historical
230086.98552903463,historical
340171.9030897218,historical
395652.2155666598,historical
266883.64329701,historical
445553.7684131771,historical
195759.86495124,historical
633932.607772724,historical
330442.9386886026,historical
280450.85714691563,historical
521656.8753099028,historical
368580.1899863838,historical
381695.9353006748,historical
439136.8749415106,historical
230449.67029688272,historical
374185.880935489,historical
334086.6510926275,historical
242055.36902555756,historical
454674.0753627266,historical
408520.76408443,historical
440678.2238318136,historical
287268.4588145376,historical
257832.39126524015,historical
373770.8964592784,historical
307714.57473242574,historical
356953.98832899,historical
239933.49729300413,historical
164700.40664437893,historical
403287.43725130864,historical
306505.90705022786,historical
360865.208152871,historical
356445.8687873166,historical
285850.9463428783,historical
234428.78634639297,historical
384974.6994539781,historical
218742.66029516395,historical
207879.4445338352,historical
287451.7240651061,historical
273898.3365926093,historical
347808.0344271236,historical
425233.4624455141,historical
339955.20299011737,historical
323543.72611169715,historical
259464.1575251309,historical
250287.4181835443,historical
473576.4215175098,historical
408254.7325851536,historical
609869.5020532167,historical
438966.28535211465,historical
316883.99099757365,historical
171925.67905072423,historical
322003.74042779574,historical
413159.9569267536,historical
343726.8171094326,historical
235046.61002221348,historical
281329.392767472,historical
359663.06423300377,historical
416216.1999494788,historical
313215.1546067762,historical
247063.4434360062,historical
478402.5716901631,historical
214673.51700194823,historical
298118.5226238668,historical
224544.93180928376,historical
495030.70709011145,historical
283489.1762192863,historical
351390.2342596553,historical
341064.067864691,historical
371552.4074075343,historical
242410.4937524161,historical
297085.8961229535,historical
307960.25574925414,historical
278457.2389531916,historical
249178.57360821555,historical
323819.9196376294,historical
640149.727196095,historical
304674.1435813763,historical
499002.3625557949,historical
336529.5920865683,historical
340667.6699848832,historical
414659.55589168856,historical
253766.68423986435,historical
437466.20173668367,historical
415076.1349243349,historical
191591.43955249048,historical
242563.17311864824,historical
318206.0773810435,historical
296988.6331672512,historical
213041.1109415793,historical
298884.1921291553,historical
332025.8482515576,historical
478600.0128164273,historical
318209.7200820202,historical
406829.8989291646,historical
311017.1869465432,historical
334507.42692199687,historical
239987.48332468484,historical
282209.4170449109,historical
362761.2759915821,historical
350364.73986657057,historical
500101.4860535872,historical
344527.59020456474,historical
359769.7057542766,historical
218327.40685631416,historical
332366.77034575044,historical
362551.0274122413,historical
465151.5371420129,historical
426582.59271470224,historical
306502.02570939704,historical
453236.5095184416,historical
329590.09623874066,historical
245439.17219554915,historical
293936.03826633014,historical
273508.9581728881,historical
251874.28109414203,historical
401343.179721165,historical
232535.05576840125,historical
263106.9334482803,historical
385879.5410729004,historical
291943.2238182361,historical
335597.8096272163,historical
265276.5328553141,historical
432637.12876043393,historical
271875.1429946141,historical
293136.48522525275,historical
513118.3332204615,historical
377585.579716189,historical
225308.76274789477,historical
381982.4249684114,historical
215858.183670042,historical
313673.96348897053,historical
256506.2948657547,historical
272220.67264899873,historical
304288.8118494139,historical
174669.3347336485,historical
217083.9248774917,historical
466418.436738485,historical
345859.7081864258,historical
186640.14524986723,historical
297642.634380413,historical
366494.22433300473,historical
347408.8729767547,historical
223985.42515915172,historical
408218.3051177532,historical
362767.1234894484,historical
176715.0039332622,historical
507797.0459598645,historical
401557.758390078,historical
319858.17570169084,historical
420377.4431018768,historical
215978.40519708497,historical
317192.11078969215,historical
257085.70311523785,historical
238029.7699140025,historical
239341.33610782475,historical
294724.7355294352,historical
513986.4806102838,historical
254871.5043575864,historical
306586.094001244,historical
553758.2334806701,historical
360509.1748919365,historical
590257.328688486,historical
433618.91456342273,historical
501435.4573430612,historical
490044.31809490494,historical
342864.1661452127,historical
207733.20266459213,historical
165014.84887860063,historical
255923.31827138204,historical
280120.0390710001,historical
