t,Equal Weight,Max Sharpe,Min Volatility,Risk Parity
2023-03-13 04:00:00,1.0,1.0,1.0,1.0
2023-03-14 04:00:00,1.0127066019374023,1.0084655803343883,0.9988957840980167,1.007472318989886
2023-03-15 04:00:00,1.008553414741959,1.0116167885269414,0.996187419218136,1.0027426234432213
2023-03-16 04:00:00,1.0258172055760932,1.0271273921135875,0.9990374000375433,1.014070340268802
2023-03-17 04:00:00,1.0224580894574629,1.0331599809705654,1.0079718977530752,1.0146925466058552
2023-03-20 04:00:00,1.023808230220509,1.0370185033767565,1.0132602892995657,1.0185721936938974
2023-03-21 04:00:00,1.037072422196799,1.0399005322864203,1.017879414223503,1.0295775848959594
2023-03-22 04:00:00,1.0274597013087434,1.0388245182057092,1.0188551042719387,1.0232284159221536
2023-03-23 04:00:00,1.032245324143561,1.0466236323673017,1.0223430471330415,1.027098918789544
2023-03-24 04:00:00,1.0326339242610734,1.0423230364970324,1.0226296543087328,1.0280545790392739
2023-03-27 04:00:00,1.030337589621122,1.0357060957627695,1.0152604281763156,1.0243064716430934
2023-03-28 04:00:00,1.030361090301057,1.0366863276454104,1.0197840568064664,1.026161778395654
2023-03-29 04:00:00,1.0437422625047097,1.0469472905610693,1.0266681581371762,1.0375448424617326
2023-03-30 04:00:00,1.052135391720312,1.0574035663544645,1.0342178335248584,1.0455111460211075
2023-03-31 04:00:00,1.0636153209845292,1.0638374104122117,1.0409545318113693,1.0552949191920111
2023-04-03 04:00:00,1.071186701871727,1.0682025085278644,1.058677466008299,1.0682832767333459
2023-04-04 04:00:00,1.0715187549023164,1.0773262851768437,1.062454802537102,1.069180410657647
2023-04-05 04:00:00,1.066820781002569,1.0675440057362764,1.066399601450053,1.0684763859262765
2023-04-06 04:00:00,1.0700126039283264,1.0676923414612647,1.063106291033368,1.068812514526863
2023-04-07 04:00:00,1.0700126039283264,1.0676923414612647,1.063106291033368,1.068812514526863
2023-04-10 04:00:00,1.0643995196734537,1.059112790361826,1.0517717192941536,1.0609916479782542
2023-04-11 04:00:00,1.0599785206166608,1.055877153486794,1.053367755872778,1.0591594208939574
2023-04-12 04:00:00,1.0561639325454557,1.0530114619172553,1.053493631039608,1.0568692734215357
2023-04-13 04:00:00,1.0734556114585632,1.0791577570819713,1.0643690305744224,1.0714972708359842
2023-04-14 04:00:00,1.0771915511682302,1.0759215925519463,1.0561871475429199,1.0701511762641511
2023-04-17 04:00:00,1.076704662237986,1.0749354458380023,1.0492922745768416,1.0669817388650316
2023-04-18 04:00:00,1.0817123151015455,1.079513683326802,1.0575832943448848,1.0736215136876608
2023-04-19 04:00:00,1.0835421572799013,1.083128841740268,1.0566203005527879,1.074240998167052
2023-04-20 04:00:00,1.079858335188551,1.081783659252014,1.0564882486965153,1.0715694915837877
2023-04-21 04:00:00,1.0806762098770515,1.0790712572829804,1.0507394899014557,1.0697680960330551
2023-04-24 04:00:00,1.0823015749500884,1.079930246917443,1.0585874928134604,1.074300275608525
2023-04-25 04:00:00,1.0680730850732274,1.0708309921537382,1.057556660876928,1.0649867258917831
2023-04-26 04:00:00,1.0739129545849269,1.0710590700364548,1.0537401043780945,1.0666541041484696
2023-04-27 04:00:00,1.0940851685117616,1.090441685395011,1.061279401506373,1.0821065372219179
2023-04-28 04:00:00,1.0974378525143769,1.0863275366604621,1.0707622915646045,1.0886263974061514
2023-05-01 04:00:00,1.0870231469779088,1.0798650634521492,1.052962778740344,1.0749540273281313
2023-05-02 04:00:00,1.083786386946658,1.0879372272466343,1.0541339490781747,1.071695865763195
2023-05-03 04:00:00,1.0777065720491863,1.0879152051933292,1.0520604818321724,1.0665952162262324
2023-05-04 04:00:00,1.072052280505925,1.0872458048279,1.0455970633348497,1.0600421418981794
2023-05-05 04:00:00,1.0892193704730972,1.100690822811511,1.0561464429731728,1.0758017322531066
2023-05-08 04:00:00,1.0881537765977385,1.1016165908726725,1.0533222996803222,1.0741810188201015
2023-05-09 04:00:00,1.0857446164007047,1.1022706801661128,1.0521311957696118,1.071957091654616
2023-05-10 04:00:00,1.094619848433608,1.1116453517580436,1.0543237175375693,1.077636657965177
2023-05-11 04:00:00,1.0940028686022558,1.1112284458847153,1.0503547179298292,1.0752255179816397
2023-05-12 04:00:00,1.086943033569627,1.1034360994809274,1.045942959359008,1.0695917987543955
2023-05-15 04:00:00,1.0882368277758752,1.1056807524863788,1.0417987210364343,1.0684864457911645
2023-05-16 04:00:00,1.0856009428716271,1.1031358867631342,1.0322763517248523,1.0625684224046472
2023-05-17 04:00:00,1.0977483465790487,1.1089354362378103,1.0364520338558638,1.0718470699873404
2023-05-18 04:00:00,1.1073339999209988,1.1131966506186008,1.0363849913375405,1.078048166375407
2023-05-19 04:00:00,1.1053081524443624,1.1144263945136612,1.0385682774587672,1.0778272329140626
2023-05-22 04:00:00,1.1017202604960394,1.1084806499470006,1.033467212414278,1.0736093597140883
2023-05-23 04:00:00,1.0951450584666218,1.1025621874866047,1.033343010290401,1.06963246338178
2023-05-24 04:00:00,1.0939244230567615,1.101792904463945,1.0323787051977813,1.068739365308588
2023-05-25 04:00:00,1.0985062301859916,1.096992123942553,1.0281393779002947,1.069918083367072
2023-05-26 04:00:00,1.115477669768982,1.1136197232606186,1.0339889881074216,1.0819314991866726
2023-05-29 04:00:00,1.115477669768982,1.1136197232606186,1.0339889881074216,1.0819314991866726
2023-05-30 04:00:00,1.1198445205577143,1.12338843110017,1.0384840088100127,1.0858743799541506
2023-05-31 04:00:00,1.1135894453644781,1.1210714937206931,1.0367901019465604,1.0811036885028085
