mean,median,min,max,std,initial_investment,time_horizon_days,annualized_return,simulation_method,percentile_1,percentile_5,percentile_10,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,percentile_99,prob_return_-0.2,prob_return_0.0,prob_return_0.1,prob_return_0.2,prob_return_0.3,prob_return_0.5,prob_return_0.7,prob_return_1.0,method
325255.72630395024,310939.51725738304,155233.66090037173,701624.2227965588,87551.97758882974,100000,1260,0.2660328957899105,historical,174286.9148369617,203450.47773155995,224999.07180271493,265252.90535948274,310939.51725738304,374665.92063380557,441295.8547225263,492417.3560813814,590453.4504221331,1.0,1.0,1.0,1.0,1.0,1.0,0.993,0.953,historical
324990.69486991176,312883.9232626719,134128.91789016503,822395.6765100195,93729.39773488286,100000,1260,0.26582650561481413,parametric,157311.88163812956,194914.89856164757,215065.282263192,257021.3204258962,312883.9232626719,378275.3415455553,447809.9245621197,481921.16302901146,590662.3166821375,1.0,1.0,1.0,1.0,1.0,0.993,0.982,0.937,parametric
301712.526854396,289335.8124042611,152607.6344371148,616577.9037020497,73623.08540348736,100000,1260,0.24714993500550508,bootstrap,168387.73803973096,199377.9152567881,219268.4772776266,250731.0203914431,289335.8124042611,344115.2640460251,398718.1855377338,433066.75826112437,516518.1358220814,1.0,1.0,1.0,1.0,1.0,1.0,0.986,0.948,bootstrap
